2.07
18
0, 0, 1, 0, 0, 2500,
1, 0, 1, 0, 0, 6500,
2, 0, 1, 0, 0, 10000,
3, 0, 1, 0, 0, 2500, inParm4.txt
4, 0, 1, 0, 0, 6500, inParm5.txt
5, 0, 1, 0, 0, 10000, inParm6.txt
6, 2, 0, 0, 0, 2500, inParm7.txt
7, 2, 0, 0, 0, 6500, inParm8.txt
8, 2, 0, 0, 0, 10000, inParm9.txt
9, 0, 1, 0, 0, 430,
10, 0, 1, 0, 0, 1000,
11, 0, 1, 0, 0, 4000,
12, 2, 2, 5, 0, 2500, inParm13.txt
12, 2, 2, 5, 1, 2500, inParm13_low.txt
13, 2, 2, 5, 0, 6500, inParm14.txt
13, 2, 2, 5, 1, 6500, inParm14_low.txt
14, 2, 2, 5, 0, 10000, inParm15.txt
14, 2, 2, 5, 1, 10000, inParm15_low.txt
15, 0, 1, 0, 0, 2500, inParm16.txt
16, 0, 1, 0, 0, 6500, inParm17.txt
17, 0, 1, 0, 0, 10000, inParm18.txt
